#TYPE System.Management.Automation.PSCustomObject,,,
URL,Status,DateAdded,Notes
200.98.247.37,Bad,7/25/2015,
201.216.232.12,Bad,7/25/2015,
201.7.184.2,Bad,7/25/2015,
201.76.178.58,Bad,7/25/2015,
201.76.59.63,Bad,7/25/2015,
201.90.255.85,Bad,7/25/2015,
202.109.143.16,Bad,7/25/2015,
202.131.25.49,Bad,7/25/2015,
202.146.213.7,Bad,7/25/2015,
202.146.4.119,Bad,7/25/2015,
202.157.165.152,Bad,7/25/2015,
202.170.120.71,Bad,7/25/2015,
202.28.69.195,Bad,7/25/2015,
202.38.97.217,Bad,7/25/2015,
202.72.245.146,Bad,7/25/2015,
202.73.57.34,Bad,7/25/2015,
202.91.74.136,Bad,7/25/2015,
203.157.204.2,Bad,7/25/2015,
203.158.16.75,Bad,7/25/2015,
203.62.135.6,Bad,7/25/2015,
203.63.5.190,Bad,7/25/2015,
204.12.252.138,Bad,7/25/2015,
204.12.47.43,Bad,7/25/2015,
204.45.48.15,Bad,7/25/2015,
204.45.55.121,Bad,7/25/2015,
204.62.12.36,Bad,7/25/2015,
204.93.171.26,Bad,7/25/2015,
204.93.171.27,Bad,7/25/2015,
205.186.183.224,Bad,7/25/2015,
205.209.102.141,Bad,7/25/2015,
205.209.143.94,Bad,7/25/2015,
205.234.204.161,Bad,7/25/2015,
205.234.231.11,Bad,7/25/2015,
206.188.192.34,Bad,7/25/2015,
206.217.131.101,Bad,7/25/2015,
206.217.137.210,Bad,7/25/2015,
206.217.209.5,Bad,7/25/2015,
206.225.20.77,Bad,7/25/2015,
207.182.132.154,Bad,7/25/2015,
207.204.11.91,Bad,7/25/2015,
207.210.111.200,Bad,7/25/2015,
207.226.182.55,Bad,7/25/2015,
208.112.22.66,Bad,7/25/2015,
208.113.149.162,Bad,7/25/2015,
208.113.174.122,Bad,7/25/2015,
208.115.233.154,Bad,7/25/2015,
208.131.138.8,Bad,7/25/2015,
208.52.167.208,Bad,7/25/2015,
208.53.183.20,Bad,7/25/2015,
208.68.37.55,Bad,7/25/2015,
208.69.181.2,Bad,7/25/2015,
208.71.106.216,Bad,7/25/2015,
208.75.182.117,Bad,7/25/2015,
208.75.230.43,Bad,7/25/2015,
208.76.54.216,Bad,7/25/2015,
208.76.54.224,Bad,7/25/2015,
208.76.80.13,Bad,7/25/2015,
208.76.80.16,Bad,7/25/2015,
208.76.80.19,Bad,7/25/2015,
208.78.116.100,Bad,7/25/2015,
208.79.232.46,Bad,7/25/2015,
208.83.210.11,Bad,7/25/2015,
208.83.210.33,Bad,7/25/2015,
208.87.149.250,Bad,7/25/2015,
208.88.5.229,Bad,7/25/2015,
208.93.234.68,Bad,7/25/2015,
208.94.108.238,Bad,7/25/2015,
209.172.59.196,Bad,7/25/2015,
209.188.0.118,Bad,7/25/2015,
209.190.85.128,Bad,7/25/2015,
209.190.85.252,Bad,7/25/2015,
209.200.55.33,Bad,7/25/2015,
209.200.55.60,Bad,7/25/2015,
209.216.193.107,Bad,7/25/2015,
209.235.144.9,Bad,7/25/2015,
209.236.115.98,Bad,7/25/2015,
209.236.67.163,Bad,7/25/2015,
209.236.67.171,Bad,7/25/2015,
209.25.133.107,Bad,7/25/2015,
209.33.220.8,Bad,7/25/2015,
209.51.196.254,Bad,7/25/2015,
209.9.188.130,Bad,7/25/2015,
210.109.97.193,Bad,7/25/2015,
210.114.221.53,Bad,7/25/2015,
210.193.32.148,Bad,7/25/2015,
210.219.173.220,Bad,7/25/2015,
211.119.245.140,Bad,7/25/2015,
211.171.231.215,Bad,7/25/2015,
211.174.163.103,Bad,7/25/2015,
211.174.183.130,Bad,7/25/2015,
211.202.2.17,Bad,7/25/2015,
211.233.51.186,Bad,7/25/2015,
211.234.100.137,Bad,7/25/2015,
211.234.117.132,Bad,7/25/2015,
211.234.117.47,Bad,7/25/2015,
211.44.250.173,Bad,7/25/2015,
212.117.161.31,Bad,7/25/2015,
212.117.169.139,Bad,7/25/2015,
212.12.112.25,Bad,7/25/2015,
212.124.116.129,Bad,7/25/2015,
212.124.116.141,Bad,7/25/2015,
212.150.34.114,Bad,7/25/2015,
212.154.208.169,Bad,7/25/2015,
212.175.169.227,Bad,7/25/2015,
212.180.176.4,Bad,7/25/2015,
212.227.31.159,Bad,7/25/2015,
212.25.179.97,Bad,7/25/2015,
212.27.63.127,Bad,7/25/2015,
212.36.9.1,Bad,7/25/2015,
212.36.9.10,Bad,7/25/2015,
212.48.121.103,Bad,7/25/2015,
212.58.108.178,Bad,7/25/2015,
212.58.23.82,Bad,7/25/2015,
212.67.202.194,Bad,7/25/2015,
212.7.194.214,Bad,7/25/2015,
212.70.224.183,Bad,7/25/2015,
212.73.128.243,Bad,7/25/2015,
212.84.187.68,Bad,7/25/2015,
213.132.197.60,Bad,7/25/2015,
213.155.12.144,Bad,7/25/2015,
213.163.89.54,Bad,7/25/2015,
213.171.37.206,Bad,7/25/2015,
